2607
2844	!	91
937	!!	83
10684	!!!	3
26815	!!!!	1
21281	!!!!☆（⌒	1
8064	!!!、	1
10685	!!!」	1
1967	!!!」（	1
17544	!!”	1
29675	!!○『	1
6875	!!「	1
8065	!!」	17
25681	!!」■	1
29948	!!」。	1
21282	!!」「	1
5721	!!」（	2
22739	!!』	1
26963	!!【	7
3815	!!（	7
30639	!(	1
5855	!)	2
938	!?	170
18545	!?-	1
11437	!?[	1
27538	!?—	7
15955	!?“	1
6049	!?「	17
4110	!?」	17
9324	!?」「	2
11462	!?」（	1
5894	!?』	6
27020	!?【	17
16234	!?】	2
4111	!?（	5
13133	!?）	1
23026	!、	1
2845	!「	3
2846	!」	26
16752	!」、「	1
16753	!」「	1
25274	!」（	1
17860	!』	1
2847	!【	7
24317	!〜	1
2848	!（	3
10232	!）”「	1
8502	!？	1
7271	!？」	6
17989	"	44
23815	""	1
29999	"、	1
15743	#	8
25249	$	6
871	%	111
27367	%(	1
17622	%)	1
17623	%)、「	2
27171	%…	6
16560	%−	1
16561	%■	1
6143	%、	15
9917	%、「	5
17624	%、「〜	1
11499	%。	6
11661	%〇	1
17328	%「	1
12937	%！	1
29649	%！！	1
2743	%）	9
14407	%）、	1
4182	%）、「	5
11500	%）。	1
15381	%）」	2
17172	%）」、	1
14408	%）」「	2
2744	%／	1
1429	&	78
8649	'	23
19975	'(*	1
26483	'.	10
28914	'■	1
30684	'」	1
0	(	740
23563	(#^.^#)	3
23908	(#^.^#)■	1
30616	(((	1
25819	((((；	1
21642	();	1
29099	(*	1
25168	(*^_^*)」「	1
18847	(*^▽^*)	2
24466	(*^▽^*)！！■	1
20753	(*^。^*)	2
24205	(*^。^*)■	1
24064	(*´	1
20264	(*´∀｀)	4
20265	(*´∀｀*)	6
22250	(*´∀｀*)☆■	1
26211	(*´∀｀*)♪	1
24245	(*´∀｀*)♪■	1
22251	(*´∀｀*)！	1
23839	(*´∀｀*)！！■	1
30082	(+	1
24065	(/	1
19028	(/=	3
24246	(;	1
18806	(=´∀｀)	1
20959	(>_<)	1
24066	(>_<、)	1
15861	(?)	1
19270	(@	4
20805	(@@;)。	1
30331	(^	2
22819	(^-^)	1
22820	(^-^)※「	1
19976	(^^)	1
23211	(^^)/」「	1
19117	(^^)」「	1
23564	(^_-)-☆	2
18848	(^_-)-☆■	1
25713	(^_^	1
22719	(^_^;)	1
29100	(^▽^)	1
23199	(_	2
12664	(´	2
22272	(´∀｀)♪	1
25983	(´∀｀*)■	1
18807	(´∀｀=)」「	1
30617	(´∵`)	1
21322	(´▽`)/	1
24247	(´▽｀)	1
15862	(※	1
27175	(‾	1
23212	(●	1
998	(「	2
24438	(」	2
19029	(」=	3
22510	(＞	1
23840	(｀	2
1	)	526
24248	)!	1
30746	)(	1
15863	)(※	1
25820	))))	1
29101	)))」	1
30618	))』	1
27937	)*	1
24910	)-	1
21324	).	1
19030	)/	18
20087	):	10
10486	)[	1
21811	)\	2
18518	)]	165
27655	)¥	1
15220	)“	1
2745	)”	2
25013	)”。	1
19778	)※	6
24747	)③	1
16289	)■	20
9400	)◆	1
6678	)◆「	1
17237	)●	2
2746	)、	25
4944	)、「	17
23440	)、（	1
268	)。	54
999	)。「	28
1346	)。」。	1
7986	)。『	2
1165	)「	22
4493	)」	51
21325	)」、	1
5113	)」。	10
14980	)」。「	1
14244	)」「	4
538	)『	2
15801	)『「	1
18301	)』	1
6679	)【	16
13117	)〜	20
13912	)！	1
7666	)（	7
20714	)）	1
4494	)／	4
19779	)：	14
3587	)＜	5
19977	*	13
29102	*)	1
19978	*)'	1
30891	*************************	1
30892	************************■	1
23441	*/	1
19979	*:.。.	1
19980	*:.。..。.:*	1
26455	*^_^*）♪	1
22273	*^_^*）♪■	1
20960	*‧♪(	1
19981	*」「	1
30366	*（	1
11220	+	118
21139	+/	1
27557	+/-	1
20761	+」	13
26934	+」、	5
28093	+」。	1
24242	+［	1
1538	,	334
2127	-	922
29217	--	3
24511	---	1
22560	-------------------------	6
22742	------------------------■	1
15814	----。	1
25658	-「	1
10448	-」	3
10449	-」、	1
24070	-」（	1
7328	-』	2
15176	-』。	1
24071	-（	1
689	.	1098
23279	.)	1
25866	.).	1
11353	.,	2
16488	.-」	1
24699	..	1
4879	...	14
24602	...)	1
28367	......	3
27576	......。	3
23746	...。	1
4586	...」	5
23200	...」「	1
12923	.“	2
26147	.”	1
26148	.”“	1
10022	.…。………	1
10165	.■	93
11602	.。	1
19982	.。.:*	1
23649	.《	1
22728	.「	3
24344	.」	1
1539	.『	1
14192	.』	1
13535	.（	1
2849	/	574
16628	/)	2
22305	/?	1
20629	/~	4
20349	/②	1
20350	/②『	1
21735	/■	11
20741	/■「	1
28755	/◆	2
22306	/◇	1
30394	/○	1
23650	/●	2
16864	/「	1
24251	/」	1
27908	/『	1
15117	/【	2
17779	/）	9
3770	0	241
2051	00	56
2052	000	93
23390	0002	1
19271	001	10
27543	00107000	1
30929	0012	1
30893	0013	1
19272	002	3
28999	0021	1
25581	00284	1
14245	003	9
30022	0042	1
27909	0061	1
3104	007	8
9234	009	5
1645	01	88
16443	010	2
22462	011	3
26012	012	1
9235	0120	4
24431	0126	1
9236	014	1
23488	016	1
30134	017	1
13066	02	28
29687	022	1
28927	0220	1
4280	023	3
4281	024	1
4282	025	1
30939	027	1
30218	0272	1
19434	029	1
6595	03	53
14486	030	1
18405	032	1
26430	034209	1
14672	04	53
20698	042	2
30395	0420	1
22362	045	1
12649	05	30
17132	050	7
28343	0529	1
21935	0570	4
23918	058	1
10154	06	17
20685	0608636	1
29524	063	1
18406	064	2
26811	068	1
11346	07	36
30924	076	1
3948	08	18
20612	080	3
21936	0800	3
23442	084	2
5068	09	42
3033	090	1
27389	0926	1
24419	094	1
19704	096	1
30563	097	1
539	1	1239
2	10	667
269	100	259
792	1000	124
18466	10000	14
29203	1000012	1
27938	1001	1
27939	1002	1
27940	1003	1
27941	1004	1
27942	1005	1
25752	1006	2
27943	1008	1
27944	1009	1
20156	101	16
16754	1018	1
19555	102	10
20045	1022	1
23097	1024	5
20869	1025	1
23307	102532074	1
22561	102544232	1
19606	102717479	1
19435	1029	1
19041	103	16
12068	1030	1
19453	1033	1
19042	104	13
25024	10400	1
23776	10461	1
10306	105	7
3	1050	4
10450	10500	1
24748	1052	1
25753	1058	1
21556	10600	2
25592	106424	1
13623	1069	1
14888	107	4
